L,A,Vbias,result
1,1,0.2,False
1,1,0.5,False
1,1,0.8,False
1,1,1.1,False
1,1,1.4,False
1,1,1.7,False
1,1,2.0,False
1,1,2.3,False
1,2,0.2,False
1,2,0.5,False
1,2,0.8,False
1,2,1.1,False
1,2,1.4,False
1,2,1.7,False
1,2,2.0,False
1,2,2.3,False
1,3,0.2,False
1,3,0.5,False
1,3,0.8,False
1,3,1.1,False
2,1,0.2,False
2,1,0.5,False
2,1,0.8,True
2,1,1.1,True
2,1,1.4,False
2,1,1.7,False
2,1,2.0,False
2,1,2.3,False
2,2,0.2,False
2,2,0.5,False
2,2,0.8,True
2,2,1.1,True
2,2,1.4,False
2,2,1.7,False
2,2,2.0,False
2,2,2.3,False
2,3,0.2,False
2,3,0.5,False
2,3,0.8,True
2,3,1.1,True
1,6,0.2,False
1,6,0.5,False
1,6,0.8,False
1,6,1.1,False
1,6,1.4,False
1,6,1.7,False
1,6,2.0,False
1,6,2.3,False
1,7,0.2,False
1,7,0.5,False
1,7,0.8,False
1,7,1.1,False
1,7,1.4,False
1,7,1.7,False
1,7,2.0,False
1,7,2.3,False
1,8,0.2,False
1,8,0.5,False
1,8,0.8,False
1,8,1.1,False
1,3,1.4,False
1,3,1.7,False
1,3,2.0,False
1,3,2.3,False
1,4,0.2,False
1,4,0.5,False
1,4,0.8,False
1,4,1.1,False
1,4,1.4,False
1,4,1.7,False
1,4,2.0,False
1,4,2.3,False
1,5,0.2,False
1,5,0.5,False
1,5,0.8,False
1,5,1.1,False
1,5,1.4,False
1,5,1.7,False
1,5,2.0,False
1,5,2.3,False
1,8,1.4,False
1,8,1.7,False
1,8,2.0,False
1,8,2.3,False
1,9,0.2,False
1,9,0.5,False
1,9,0.8,False
1,9,1.1,True
1,9,1.4,False
1,9,1.7,False
1,9,2.0,False
1,9,2.3,False
1,10,0.2,False
1,10,0.5,False
1,10,0.8,False
1,10,1.1,True
1,10,1.4,False
1,10,1.7,False
1,10,2.0,False
1,10,2.3,False
2,6,0.2,False
2,6,0.5,False
2,6,0.8,True
2,6,1.1,True
2,6,1.4,False
2,6,1.7,False
2,6,2.0,False
2,6,2.3,False
2,7,0.2,False
2,7,0.5,False
2,7,0.8,True
2,7,1.1,True
2,7,1.4,False
2,7,1.7,False
2,7,2.0,False
2,7,2.3,False
2,8,0.2,False
2,8,0.5,False
2,8,0.8,True
2,8,1.1,True
3,1,0.2,False
3,1,0.5,False
3,1,0.8,True
3,1,1.1,False
3,1,1.4,False
3,1,1.7,False
3,1,2.0,False
3,1,2.3,False
3,2,0.2,False
3,2,0.5,False
3,2,0.8,True
3,2,1.1,False
3,2,1.4,False
3,2,1.7,False
3,2,2.0,False
3,2,2.3,False
3,3,0.2,False
3,3,0.5,False
3,3,0.8,True
3,3,1.1,False
2,3,1.4,False
2,3,1.7,False
2,3,2.0,False
2,3,2.3,False
2,4,0.2,False
2,4,0.5,False
2,4,0.8,True
2,4,1.1,True
2,4,1.4,False
2,4,1.7,False
2,4,2.0,False
2,4,2.3,False
2,5,0.2,False
2,5,0.5,False
2,5,0.8,True
2,5,1.1,True
2,5,1.4,False
2,5,1.7,False
2,5,2.0,False
2,5,2.3,False
2,8,1.4,False
2,8,1.7,False
2,8,2.0,False
2,8,2.3,False
2,9,0.2,False
2,9,0.5,False
2,9,0.8,True
2,9,1.1,True
2,9,1.4,False
2,9,1.7,False
2,9,2.0,False
2,9,2.3,False
2,10,0.2,False
2,10,0.5,False
2,10,0.8,True
2,10,1.1,True
2,10,1.4,False
2,10,1.7,False
2,10,2.0,False
2,10,2.3,False
3,3,1.4,False
3,3,1.7,False
3,3,2.0,False
3,3,2.3,False
3,4,0.2,False
3,4,0.5,False
3,4,0.8,True
3,4,1.1,False
3,4,1.4,False
3,4,1.7,False
3,4,2.0,False
3,4,2.3,False
3,5,0.2,False
3,5,0.5,False
3,5,0.8,True
3,5,1.1,False
3,5,1.4,False
3,5,1.7,False
3,5,2.0,False
3,5,2.3,False
3,6,0.2,False
3,6,0.5,False
3,6,0.8,True
3,6,1.1,True
3,6,1.4,False
3,6,1.7,False
3,6,2.0,False
3,6,2.3,False
3,7,0.2,False
3,7,0.5,False
3,7,0.8,True
3,7,1.1,True
3,7,1.4,False
3,7,1.7,False
3,7,2.0,False
3,7,2.3,False
3,8,0.2,False
3,8,0.5,False
3,8,0.8,True
3,8,1.1,True
4,1,0.2,False
4,1,0.5,True
4,1,0.8,True
4,1,1.1,True
4,1,1.4,False
4,1,1.7,False
4,1,2.0,False
4,1,2.3,False
4,2,0.2,False
4,2,0.5,True
4,2,0.8,True
4,2,1.1,True
4,2,1.4,False
4,2,1.7,False
4,2,2.0,False
4,2,2.3,False
4,3,0.2,False
4,3,0.5,True
4,3,0.8,True
4,3,1.1,True
3,8,1.4,False
3,8,1.7,False
3,8,2.0,False
3,8,2.3,False
3,9,0.2,False
3,9,0.5,False
3,9,0.8,True
3,9,1.1,True
3,9,1.4,False
3,9,1.7,False
3,9,2.0,False
3,9,2.3,False
3,10,0.2,False
3,10,0.5,False
3,10,0.8,True
3,10,1.1,True
3,10,1.4,False
3,10,1.7,False
3,10,2.0,False
3,10,2.3,False
4,6,0.2,False
4,6,0.5,True
4,6,0.8,True
4,6,1.1,True
4,6,1.4,False
4,6,1.7,False
4,6,2.0,False
4,6,2.3,False
4,7,0.2,False
4,7,0.5,True
4,7,0.8,True
4,7,1.1,True
4,7,1.4,False
4,7,1.7,False
4,7,2.0,False
4,7,2.3,False
4,8,0.2,False
4,8,0.5,True
4,8,0.8,True
4,8,1.1,True
4,3,1.4,False
4,3,1.7,False
4,3,2.0,False
4,3,2.3,False
4,4,0.2,False
4,4,0.5,True
4,4,0.8,True
4,4,1.1,True
4,4,1.4,False
4,4,1.7,False
4,4,2.0,False
4,4,2.3,False
4,5,0.2,False
4,5,0.5,True
4,5,0.8,True
4,5,1.1,True
4,5,1.4,False
4,5,1.7,False
4,5,2.0,False
4,5,2.3,False
5,1,0.2,False
5,1,0.5,True
5,1,0.8,True
5,1,1.1,True
5,1,1.4,False
5,1,1.7,False
5,1,2.0,False
5,1,2.3,False
5,2,0.2,False
5,2,0.5,True
5,2,0.8,True
5,2,1.1,True
5,2,1.4,False
5,2,1.7,False
