L,A,Vbias,result
1,9,0.4,False
1,9,0.5,False
1,9,0.6,False
1,9,0.7,False
1,9,0.8,False
1,9,0.9,False
1,9,1.0,False
1,9,1.1,True
1,9,1.2,False
1,9,1.3,False
1,10,0.4,False
1,10,0.5,False
1,10,0.6,False
1,10,0.7,False
1,10,0.8,False
1,10,0.9,False
1,10,1.0,False
1,10,1.1,True
1,10,1.2,False
1,10,1.3,False
1,5,0.4,False
1,5,0.5,False
1,5,0.6,False
1,5,0.7,False
1,5,0.8,False
1,5,0.9,False
1,5,1.0,False
1,5,1.1,False
1,5,1.2,False
1,5,1.3,False
1,6,0.4,False
1,6,0.5,False
1,6,0.6,False
1,6,0.7,False
1,6,0.8,False
1,6,0.9,False
1,6,1.0,False
1,6,1.1,False
1,6,1.2,False
1,6,1.3,False
1,7,0.4,False
1,7,0.5,False
1,7,0.6,False
1,7,0.7,False
1,7,0.8,False
1,7,0.9,False
1,7,1.0,False
1,7,1.1,False
1,7,1.2,False
1,7,1.3,False
1,8,0.4,False
1,8,0.5,False
1,8,0.6,False
1,8,0.7,False
1,8,0.8,False
1,8,0.9,False
1,8,1.0,False
1,8,1.1,False
1,8,1.2,False
1,8,1.3,False
1,3,0.4,False
1,3,0.5,False
1,3,0.6,False
1,3,0.7,False
1,3,0.8,False
1,3,0.9,False
1,3,1.0,True
1,3,1.1,False
1,3,1.2,False
1,3,1.3,False
1,4,0.4,False
1,4,0.5,False
1,4,0.6,False
1,4,0.7,False
1,4,0.8,False
1,4,0.9,False
1,4,1.0,False
1,4,1.1,False
1,4,1.2,False
1,4,1.3,False
1,1,0.4,False
1,1,0.5,False
1,1,0.6,False
1,1,0.7,False
1,1,0.8,False
1,1,0.9,False
1,1,1.0,True
1,1,1.1,False
1,1,1.2,False
1,1,1.3,False
1,2,0.4,False
1,2,0.5,False
1,2,0.6,False
1,2,0.7,False
1,2,0.8,False
1,2,0.9,False
1,2,1.0,True
1,2,1.1,False
1,2,1.2,False
1,2,1.3,False
2,1,0.4,False
2,1,0.5,False
2,1,0.6,True
2,1,0.7,True
2,1,0.8,True
2,1,0.9,True
2,1,1.0,True
2,1,1.1,True
2,1,1.2,True
2,1,1.3,False
2,2,0.4,False
2,2,0.5,False
2,2,0.6,True
2,2,0.7,True
2,2,0.8,True
2,2,0.9,True
2,2,1.0,True
2,2,1.1,True
2,2,1.2,True
2,2,1.3,False
2,5,0.4,False
2,5,0.5,False
2,5,0.6,True
2,5,0.7,True
2,5,0.8,True
2,5,0.9,True
2,5,1.0,True
2,5,1.1,True
2,5,1.2,True
2,5,1.3,False
2,6,0.4,False
2,6,0.5,False
2,6,0.6,True
2,6,0.7,True
2,6,0.8,True
2,6,0.9,True
2,6,1.0,True
2,6,1.1,True
2,6,1.2,True
2,6,1.3,False
2,3,0.4,False
2,3,0.5,False
2,3,0.6,True
2,3,0.7,True
2,3,0.8,True
2,3,0.9,True
2,3,1.0,True
2,3,1.1,True
2,3,1.2,True
2,3,1.3,False
2,4,0.4,False
2,4,0.5,False
2,4,0.6,True
2,4,0.7,True
2,4,0.8,True
2,4,0.9,True
2,4,1.0,True
2,4,1.1,True
2,4,1.2,True
2,4,1.3,False
2,7,0.4,False
2,7,0.5,False
2,7,0.6,True
2,7,0.7,True
2,7,0.8,True
2,7,0.9,True
2,7,1.0,True
2,7,1.1,True
2,7,1.2,True
2,7,1.3,False
2,8,0.4,False
2,8,0.5,False
2,8,0.6,True
2,8,0.7,True
2,8,0.8,True
2,8,0.9,True
2,8,1.0,True
2,8,1.1,True
2,8,1.2,True
2,8,1.3,False
2,9,0.4,False
2,9,0.5,False
2,9,0.6,True
2,9,0.7,True
2,9,0.8,True
2,9,0.9,True
2,9,1.0,True
2,9,1.1,True
2,9,1.2,True
2,9,1.3,False
2,10,0.4,False
2,10,0.5,False
2,10,0.6,True
2,10,0.7,True
2,10,0.8,True
2,10,0.9,True
2,10,1.0,True
2,10,1.1,True
2,10,1.2,True
2,10,1.3,False
3,1,0.4,False
3,1,0.5,False
3,1,0.6,False
3,1,0.7,False
3,1,0.8,True
3,1,0.9,True
3,1,1.0,True
3,1,1.1,False
3,1,1.2,False
3,1,1.3,False
3,2,0.4,False
3,2,0.5,False
3,2,0.6,False
3,2,0.7,False
3,2,0.8,True
3,2,0.9,True
3,2,1.0,True
3,2,1.1,False
3,2,1.2,False
3,2,1.3,False
3,3,0.4,False
3,3,0.5,False
3,3,0.6,False
3,3,0.7,True
3,3,0.8,True
3,3,0.9,True
3,3,1.0,True
3,3,1.1,False
3,3,1.2,False
3,3,1.3,False
3,4,0.4,False
3,4,0.5,False
3,4,0.6,False
3,4,0.7,True
3,4,0.8,True
3,4,0.9,True
3,4,1.0,True
3,4,1.1,False
3,4,1.2,False
3,4,1.3,False
3,5,0.4,False
3,5,0.5,False
3,5,0.6,False
3,5,0.7,True
3,5,0.8,True
3,5,0.9,True
3,5,1.0,True
3,5,1.1,False
3,5,1.2,False
3,5,1.3,False
3,6,0.4,False
3,6,0.5,False
3,6,0.6,False
3,6,0.7,True
3,6,0.8,True
3,6,0.9,True
3,6,1.0,True
3,6,1.1,True
3,6,1.2,False
3,6,1.3,False
3,9,0.4,False
3,9,0.5,False
3,9,0.6,False
3,9,0.7,True
3,9,0.8,True
3,9,0.9,True
3,9,1.0,True
3,9,1.1,True
3,9,1.2,False
3,9,1.3,False
3,10,0.4,False
3,10,0.5,False
3,10,0.6,False
3,10,0.7,True
3,10,0.8,True
3,10,0.9,True
3,10,1.0,True
3,10,1.1,True
3,10,1.2,False
3,10,1.3,False
3,7,0.4,False
3,7,0.5,False
3,7,0.6,False
3,7,0.7,True
3,7,0.8,True
3,7,0.9,True
3,7,1.0,True
3,7,1.1,True
3,7,1.2,False
3,7,1.3,False
3,8,0.4,False
3,8,0.5,False
3,8,0.6,False
3,8,0.7,True
3,8,0.8,True
3,8,0.9,True
3,8,1.0,True
3,8,1.1,True
3,8,1.2,False
3,8,1.3,False
4,1,0.4,True
4,1,0.5,True
4,1,0.6,True
4,1,0.7,True
4,1,0.8,True
4,1,0.9,True
4,1,1.0,True
4,1,1.1,True
4,1,1.2,True
4,1,1.3,False
4,2,0.4,True
4,2,0.5,True
4,2,0.6,True
4,2,0.7,True
4,2,0.8,True
4,2,0.9,True
4,2,1.0,True
4,2,1.1,True
4,2,1.2,True
4,2,1.3,False
4,3,0.4,True
4,3,0.5,True
4,3,0.6,True
4,3,0.7,True
4,3,0.8,True
4,3,0.9,True
4,3,1.0,True
4,3,1.1,True
4,3,1.2,True
4,3,1.3,False
4,4,0.4,True
4,4,0.5,True
4,4,0.6,True
4,4,0.7,True
4,4,0.8,True
4,4,0.9,True
4,4,1.0,True
4,4,1.1,True
4,4,1.2,True
4,4,1.3,False
4,9,0.4,True
4,9,0.5,True
4,9,0.6,True
4,9,0.7,True
4,9,0.8,True
4,9,0.9,True
4,9,1.0,True
4,9,1.1,True
4,9,1.2,True
4,9,1.3,False
4,10,0.4,True
4,10,0.5,True
4,10,0.6,True
