A,Vbias,result
1,0.3,False
1,0.4,True
1,0.5,True
1,0.6,True
1,0.7,True
1,0.8,True
1,0.9,True
1,1.0,True
1,1.1,True
1,1.2,True
1,1.3,False
1,1.4,False
1,1.5,False
1,1.6,False
1,1.7,False
1,1.8,False
2,0.3,False
2,0.4,True
2,0.5,True
2,0.6,True
6,0.3,False
6,0.4,True
6,0.5,True
6,0.6,True
6,0.7,True
6,0.8,True
6,0.9,True
6,1.0,True
6,1.1,True
6,1.2,True
6,1.3,False
6,1.4,False
6,1.5,False
6,1.6,False
6,1.7,False
6,1.8,False
7,0.3,False
7,0.4,True
7,0.5,True
7,0.6,True
2,0.7,True
2,0.8,True
2,0.9,True
2,1.0,True
2,1.1,True
2,1.2,True
2,1.3,False
2,1.4,False
2,1.5,False
2,1.6,False
2,1.7,False
2,1.8,False
3,0.3,False
3,0.4,True
3,0.5,True
3,0.6,True
3,0.7,True
3,0.8,True
3,0.9,True
3,1.0,True
3,1.1,True
3,1.2,True
3,1.3,False
3,1.4,False
3,1.5,False
3,1.6,False
3,1.7,False
3,1.8,False
4,0.3,False
4,0.4,True
4,0.5,True
4,0.6,True
4,0.7,True
4,0.8,True
4,0.9,True
4,1.0,True
4,1.1,True
4,1.2,True
4,1.3,False
4,1.4,False
4,1.5,False
4,1.6,False
4,1.7,False
4,1.8,False
5,0.3,False
5,0.4,True
5,0.5,True
5,0.6,True
5,0.7,True
5,0.8,True
5,0.9,True
5,1.0,True
5,1.1,True
5,1.2,True
5,1.3,False
5,1.4,False
5,1.5,False
5,1.6,False
5,1.7,False
5,1.8,False
7,0.7,True
7,0.8,True
7,0.9,True
7,1.0,True
7,1.1,True
7,1.2,True
7,1.3,False
7,1.4,False
7,1.5,False
7,1.6,False
7,1.7,False
7,1.8,False
8,0.3,False
8,0.4,True
8,0.5,True
8,0.6,True
8,0.7,True
8,0.8,True
8,0.9,True
8,1.0,True
8,1.1,True
8,1.2,True
8,1.3,False
8,1.4,False
8,1.5,False
8,1.6,False
8,1.7,False
8,1.8,False
9,0.3,False
9,0.4,True
9,0.5,True
9,0.6,True
9,0.7,True
9,0.8,True
9,0.9,True
9,1.0,True
9,1.1,True
9,1.2,True
9,1.3,False
9,1.4,False
11,0.3,False
11,0.4,True
11,0.5,True
11,0.6,True
11,0.7,True
11,0.8,True
11,0.9,True
11,1.0,True
11,1.1,True
11,1.2,True
11,1.3,False
11,1.4,False
11,1.5,False
11,1.6,False
11,1.7,False
11,1.8,False
12,0.3,False
12,0.4,True
12,0.5,True
12,0.6,True
12,0.7,True
12,0.8,True
12,0.9,True
12,1.0,True
12,1.1,True
12,1.2,True
12,1.3,False
12,1.4,False
12,1.5,False
12,1.6,False
12,1.7,False
12,1.8,False
13,0.3,False
13,0.4,True
13,0.5,True
13,0.6,True
13,0.7,True
13,0.8,True
13,0.9,True
13,1.0,True
9,1.5,False
9,1.6,False
9,1.7,False
9,1.8,False
10,0.3,False
10,0.4,True
10,0.5,True
10,0.6,True
10,0.7,True
10,0.8,True
10,0.9,True
10,1.0,True
10,1.1,True
10,1.2,True
10,1.3,False
10,1.4,False
10,1.5,False
10,1.6,False
10,1.7,False
10,1.8,False
13,1.1,True
13,1.2,True
13,1.3,False
13,1.4,False
13,1.5,False
13,1.6,False
13,1.7,False
13,1.8,False
14,0.3,False
14,0.4,True
14,0.5,True
14,0.6,True
14,0.7,True
14,0.8,True
14,0.9,True
14,1.0,True
14,1.1,True
14,1.2,True
14,1.3,False
14,1.4,False
16,0.3,False
16,0.4,True
16,0.5,True
16,0.6,True
16,0.7,True
16,0.8,True
16,0.9,True
16,1.0,True
16,1.1,True
16,1.2,True
16,1.3,False
16,1.4,False
16,1.5,False
16,1.6,False
16,1.7,False
16,1.8,False
17,0.3,False
17,0.4,True
17,0.5,True
17,0.6,True
17,0.7,True
17,0.8,True
17,0.9,True
17,1.0,True
17,1.1,True
17,1.2,True
17,1.3,False
17,1.4,False
17,1.5,False
17,1.6,False
17,1.7,False
17,1.8,False
18,0.3,False
18,0.4,True
18,0.5,True
18,0.6,True
18,0.7,True
18,0.8,True
18,0.9,True
18,1.0,True
14,1.5,False
14,1.6,False
14,1.7,False
14,1.8,False
15,0.3,False
15,0.4,True
15,0.5,True
15,0.6,True
15,0.7,True
15,0.8,True
15,0.9,True
15,1.0,True
15,1.1,True
15,1.2,True
15,1.3,False
15,1.4,False
15,1.5,False
15,1.6,False
15,1.7,False
15,1.8,False
18,1.1,True
18,1.2,True
18,1.3,False
18,1.4,False
18,1.5,False
18,1.6,False
18,1.7,False
18,1.8,False
19,0.3,False
19,0.4,True
19,0.5,True
19,0.6,True
19,0.7,True
19,0.8,True
19,0.9,True
19,1.0,True
19,1.1,True
19,1.2,True
19,1.3,False
19,1.4,False
19,1.5,False
19,1.6,False
19,1.7,False
19,1.8,False
20,0.3,False
20,0.4,True
20,0.5,True
20,0.6,True
20,0.7,True
20,0.8,True
20,0.9,True
20,1.0,True
20,1.1,True
20,1.2,True
20,1.3,False
20,1.4,False
20,1.5,False
20,1.6,False
20,1.7,False
20,1.8,False
