R,L,Vbias,result
60,5,0.4,False
60,5,0.6,False
60,5,0.8,True
60,5,1.0,True
60,5,1.2,True
60,5,1.4,True
60,5,1.6,True
60,5,1.8,False
60,5,2.0,False
60,5,2.2,False
60,10,0.4,False
60,10,0.6,False
60,10,0.8,True
60,10,1.0,True
60,10,1.2,True
60,10,1.4,True
60,10,1.6,False
60,10,1.8,False
60,10,2.0,False
60,10,2.2,False
40,5,0.4,False
40,5,0.6,False
40,5,0.8,True
40,5,1.0,True
40,5,1.2,False
40,5,1.4,False
40,5,1.6,False
40,5,1.8,False
40,5,2.0,False
40,5,2.2,False
40,10,0.4,False
40,10,0.6,False
40,10,0.8,True
40,10,1.0,True
40,10,1.2,False
40,10,1.4,False
40,10,1.6,False
40,10,1.8,False
40,10,2.0,False
40,10,2.2,False
40,35,0.4,False
40,35,0.6,False
40,35,0.8,False
40,35,1.0,False
40,35,1.2,False
40,35,1.4,False
40,35,1.6,False
40,35,1.8,False
40,35,2.0,False
40,35,2.2,False
40,40,0.4,False
40,40,0.6,False
40,40,0.8,False
40,40,1.0,False
40,40,1.2,False
40,40,1.4,False
40,40,1.6,False
40,40,1.8,False
40,40,2.0,False
40,40,2.2,False
40,15,0.4,False
40,15,0.6,False
40,15,0.8,True
40,15,1.0,True
40,15,1.2,False
40,15,1.4,False
40,15,1.6,False
40,15,1.8,False
40,15,2.0,False
40,15,2.2,False
40,20,0.4,False
40,20,0.6,False
40,20,0.8,True
40,20,1.0,True
40,20,1.2,False
40,20,1.4,False
40,20,1.6,False
40,20,1.8,False
40,20,2.0,False
40,20,2.2,False
40,25,0.4,False
40,25,0.6,False
40,25,0.8,True
40,25,1.0,False
40,25,1.2,False
40,25,1.4,False
40,25,1.6,False
40,25,1.8,False
40,25,2.0,False
40,25,2.2,False
40,30,0.4,False
40,30,0.6,False
40,30,0.8,True
40,30,1.0,False
40,30,1.2,False
40,30,1.4,False
40,30,1.6,False
40,30,1.8,False
40,30,2.0,False
40,30,2.2,False
60,15,0.4,False
60,15,0.6,False
60,15,0.8,True
60,15,1.0,True
60,15,1.2,True
60,15,1.4,True
60,15,1.6,False
60,15,1.8,False
60,15,2.0,False
60,15,2.2,False
60,20,0.4,False
60,20,0.6,False
60,20,0.8,True
60,20,1.0,True
60,20,1.2,True
60,20,1.4,True
60,20,1.6,False
60,20,1.8,False
60,20,2.0,False
60,20,2.2,False
60,25,0.4,False
60,25,0.6,False
60,25,0.8,True
60,25,1.0,True
60,25,1.2,True
60,25,1.4,False
60,25,1.6,False
60,25,1.8,False
60,25,2.0,False
60,25,2.2,False
60,30,0.4,False
60,30,0.6,False
60,30,0.8,False
60,30,1.0,True
60,30,1.2,True
60,30,1.4,False
60,30,1.6,False
60,30,1.8,False
60,30,2.0,False
60,30,2.2,False
80,5,0.4,False
80,5,0.6,False
80,5,0.8,True
80,5,1.0,True
80,5,1.2,True
80,5,1.4,True
80,5,1.6,True
80,5,1.8,False
80,5,2.0,False
80,5,2.2,False
80,10,0.4,False
80,10,0.6,False
80,10,0.8,True
80,10,1.0,True
80,10,1.2,True
80,10,1.4,True
80,10,1.6,True
80,10,1.8,False
80,10,2.0,False
80,10,2.2,False
80,15,0.4,False
80,15,0.6,False
80,15,0.8,True
80,15,1.0,True
80,15,1.2,True
80,15,1.4,True
80,15,1.6,True
80,15,1.8,False
80,15,2.0,False
80,15,2.2,False
80,20,0.4,False
80,20,0.6,False
80,20,0.8,True
80,20,1.0,True
80,20,1.2,True
80,20,1.4,True
80,20,1.6,True
80,20,1.8,False
80,20,2.0,False
80,20,2.2,False
60,35,0.4,False
60,35,0.6,False
60,35,0.8,False
60,35,1.0,True
60,35,1.2,True
60,35,1.4,False
60,35,1.6,False
