L,Vbias,result
2,0.4,False
2,0.6,False
2,0.8,False
2,1.0,True
2,1.2,True
2,1.4,True
2,1.6,True
2,1.8,False
2,2.0,False
2,2.2,False
4,0.4,False
4,0.6,False
4,0.8,False
4,1.0,True
4,1.2,True
4,1.4,True
4,1.6,True
4,1.8,False
4,2.0,False
4,2.2,False
10,0.4,False
10,0.6,False
10,0.8,True
10,1.0,True
10,1.2,True
10,1.4,True
10,1.6,True
10,1.8,False
10,2.0,False
10,2.2,False
12,0.4,False
12,0.6,False
12,0.8,True
12,1.0,True
12,1.2,True
12,1.4,True
12,1.6,True
12,1.8,False
12,2.0,False
12,2.2,False
6,0.4,False
6,0.6,False
6,0.8,False
6,1.0,True
6,1.2,True
6,1.4,True
6,1.6,True
6,1.8,False
6,2.0,False
6,2.2,False
8,0.4,False
8,0.6,False
8,0.8,False
8,1.0,True
8,1.2,True
8,1.4,True
8,1.6,True
8,1.8,False
8,2.0,False
8,2.2,False
14,0.4,False
14,0.6,False
14,0.8,True
14,1.0,True
14,1.2,True
14,1.4,True
14,1.6,True
14,1.8,False
14,2.0,False
14,2.2,False
16,0.4,False
16,0.6,False
16,0.8,True
16,1.0,True
16,1.2,True
16,1.4,True
16,1.6,True
16,1.8,False
16,2.0,False
16,2.2,False
18,0.4,False
18,0.6,False
18,0.8,True
18,1.0,True
18,1.2,True
18,1.4,True
18,1.6,True
18,1.8,False
18,2.0,False
18,2.2,False
20,0.4,False
20,0.6,False
20,0.8,True
20,1.0,True
20,1.2,True
20,1.4,True
20,1.6,True
20,1.8,False
20,2.0,False
20,2.2,False
22,0.4,False
22,0.6,False
22,0.8,True
22,1.0,True
22,1.2,True
22,1.4,True
22,1.6,True
22,1.8,False
22,2.0,False
22,2.2,False
24,0.4,False
24,0.6,False
24,0.8,False
24,1.0,True
24,1.2,True
24,1.4,True
24,1.6,True
24,1.8,False
24,2.0,False
24,2.2,False
26,0.4,False
26,0.6,False
26,0.8,False
26,1.0,True
26,1.2,True
26,1.4,True
26,1.6,True
26,1.8,False
26,2.0,False
26,2.2,False
28,0.4,False
28,0.6,False
28,0.8,False
28,1.0,True
28,1.2,True
28,1.4,True
28,1.6,True
28,1.8,False
28,2.0,False
28,2.2,False
30,0.4,False
30,0.6,False
30,0.8,False
30,1.0,True
30,1.2,True
30,1.4,True
30,1.6,True
30,1.8,True
30,2.0,False
30,2.2,False
32,0.4,False
32,0.6,False
32,0.8,False
32,1.0,True
32,1.2,True
32,1.4,True
32,1.6,True
32,1.8,True
32,2.0,False
32,2.2,False
34,0.4,False
34,0.6,False
34,0.8,False
34,1.0,True
34,1.2,True
34,1.4,True
34,1.6,True
34,1.8,True
34,2.0,False
34,2.2,False
36,0.4,False
36,0.6,False
36,0.8,False
36,1.0,True
36,1.2,True
36,1.4,True
36,1.6,True
36,1.8,True
36,2.0,False
36,2.2,False
38,0.4,False
38,0.6,False
38,0.8,False
38,1.0,True
38,1.2,True
38,1.4,True
38,1.6,True
38,1.8,False
38,2.0,False
38,2.2,False
40,0.4,False
40,0.6,False
40,0.8,False
40,1.0,False
40,1.2,True
40,1.4,True
40,1.6,True
40,1.8,False
40,2.0,False
40,2.2,False
