"('L',)",count,Vbias
24,9.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
29,9.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
28,9.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
27,9.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
26,9.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
25,9.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
34,10.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
33,10.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
32,10.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
31,10.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
30,10.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
35,10.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
12,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
22,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
21,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
20,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
19,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
18,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
17,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
16,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
15,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
14,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
13,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
23,10.0,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]"
36,10.0,"[0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
