"('L', 'A')",count,Vbias
"(41, 41)",3.0,"[1.4, 1.6, 1.8]"
"(41, 35)",3.0,"[1.4, 1.6, 1.8]"
"(41, 32)",3.0,"[1.4, 1.6, 1.8]"
"(41, 29)",3.0,"[1.4, 1.6, 1.8]"
"(41, 14)",3.0,"[1.4, 1.6, 1.8]"
"(41, 11)",3.0,"[1.4, 1.6, 1.8]"
"(41, 8)",3.0,"[1.4, 1.6, 1.8]"
"(41, 5)",3.0,"[1.4, 1.6, 1.8]"
"(41, 38)",3.0,"[1.4, 1.6, 1.8]"
"(41, 2)",3.0,"[1.4, 1.6, 1.8]"
"(41, 20)",3.0,"[1.4, 1.6, 1.8]"
"(41, 17)",3.0,"[1.4, 1.6, 1.8]"
"(41, 26)",3.0,"[1.4, 1.6, 1.8]"
"(41, 23)",3.0,"[1.4, 1.6, 1.8]"
"(29, 26)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 29)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 32)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 38)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 41)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 5)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(38, 5)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(38, 8)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(38, 11)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(38, 14)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(38, 17)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(29, 35)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 23)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 11)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 17)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 8)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 11)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 14)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 17)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 20)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 23)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 26)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 29)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 32)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 35)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 38)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(26, 41)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 2)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 5)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 8)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(38, 20)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(29, 14)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(29, 20)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(38, 23)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(26, 2)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(38, 29)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(5, 17)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 20)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 23)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 26)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 29)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 32)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 14)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 35)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 41)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(8, 20)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(8, 23)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(8, 26)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(38, 26)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 29)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 38)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(8, 32)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 11)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 38)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(38, 32)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(38, 35)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(38, 38)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(38, 41)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(8, 41)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 14)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 41)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(8, 38)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 20)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 23)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 26)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 29)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 32)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 35)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(2, 17)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(8, 35)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(32, 11)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 5)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(38, 2)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 38)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 35)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 32)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 29)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 26)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 23)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 20)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 17)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 14)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 11)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 8)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 5)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 2)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 41)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 38)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 35)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 32)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 29)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 26)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 23)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 20)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 17)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 14)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 8)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(32, 2)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 41)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(20, 41)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(23, 38)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(14, 5)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(14, 8)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(14, 11)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
