"('L', 'R')",count,Vbias
"(30, 40)",1.0,[0.8]
"(25, 40)",1.0,[0.8]
"(5, 40)",2.0,"[0.8, 1.0]"
"(40, 60)",2.0,"[1.0, 1.2]"
"(35, 60)",2.0,"[1.0, 1.2]"
"(30, 60)",2.0,"[1.0, 1.2]"
"(10, 40)",2.0,"[0.8, 1.0]"
"(20, 40)",2.0,"[0.8, 1.0]"
"(15, 40)",2.0,"[0.8, 1.0]"
"(40, 160)",3.0,"[1.4, 1.6, 1.8]"
"(40, 140)",3.0,"[1.4, 1.6, 1.8]"
"(40, 100)",3.0,"[1.2, 1.4, 1.6]"
"(40, 80)",3.0,"[1.0, 1.2, 1.4]"
"(35, 80)",3.0,"[1.0, 1.2, 1.4]"
"(25, 60)",3.0,"[0.8, 1.0, 1.2]"
"(40, 180)",3.0,"[1.4, 1.6, 1.8]"
"(40, 200)",3.0,"[1.4, 1.6, 1.8]"
"(10, 60)",4.0,"[0.8, 1.0, 1.2, 1.4]"
"(25, 100)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(20, 60)",4.0,"[0.8, 1.0, 1.2, 1.4]"
"(10, 140)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 140)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 120)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(10, 120)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(40, 120)",4.0,"[1.2, 1.4, 1.6, 1.8]"
"(15, 60)",4.0,"[0.8, 1.0, 1.2, 1.4]"
"(30, 80)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 100)",4.0,"[1.0, 1.2, 1.4, 1.6]"
"(5, 180)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(30, 140)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(30, 100)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(30, 160)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(30, 180)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(30, 200)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(30, 120)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(10, 200)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 100)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(5, 200)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 140)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 160)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 180)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 200)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(5, 80)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(5, 60)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(5, 160)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(35, 120)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(25, 180)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(10, 180)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(10, 160)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(15, 80)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(15, 100)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(15, 120)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(15, 140)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(15, 160)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(15, 180)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(15, 200)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(20, 80)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(25, 200)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(20, 100)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(20, 140)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(20, 160)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(20, 200)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(10, 100)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(10, 80)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(25, 80)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(25, 120)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(25, 140)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(25, 160)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
"(20, 120)",5.0,"[0.8, 1.0, 1.2, 1.4, 1.6]"
"(20, 180)",5.0,"[1.0, 1.2, 1.4, 1.6, 1.8]"
