A,L,Vbias,result
5,1,0.3,False
5,1,0.5,False
5,1,0.7,False
5,1,0.9,False
5,1,1.1,False
5,1,1.3,False
5,1,1.5,False
5,1,1.7,False
5,1,1.9,False
5,2,0.3,False
5,2,0.5,False
5,2,0.7,True
5,2,0.9,True
5,2,1.1,True
5,2,1.3,False
5,2,1.5,False
5,2,1.7,False
5,2,1.9,False
5,3,0.3,False
5,3,0.5,False
5,3,0.7,True
5,3,0.9,True
5,3,1.1,False
5,3,1.3,False
5,3,1.5,False
5,3,1.7,False
5,3,1.9,False
5,4,0.3,False
5,4,0.5,True
5,4,0.7,True
5,4,0.9,True
5,4,1.1,True
5,4,1.3,False
5,4,1.5,False
5,4,1.7,False
5,4,1.9,False
5,5,0.3,False
5,5,0.5,True
5,5,0.7,True
5,5,0.9,True
5,5,1.1,True
5,5,1.3,False
5,5,1.5,False
5,5,1.7,False
5,5,1.9,False
5,6,0.3,False
5,6,0.5,True
5,6,0.7,True
5,6,0.9,True
5,6,1.1,True
5,6,1.3,False
5,6,1.5,False
5,6,1.7,False
5,6,1.9,False
5,7,0.3,False
5,7,0.5,True
5,7,0.7,True
5,7,0.9,True
5,7,1.1,True
5,7,1.3,False
5,9,1.9,False
5,10,0.3,False
5,10,0.5,False
5,10,0.7,False
5,10,0.9,False
5,10,1.1,False
5,10,1.3,False
5,10,1.5,False
5,10,1.7,False
5,10,1.9,False
5,11,0.3,False
5,11,0.5,False
5,11,0.7,False
5,11,0.9,False
5,11,1.1,False
5,11,1.3,False
5,11,1.5,False
5,11,1.7,False
5,11,1.9,False
5,12,0.3,False
5,7,1.5,False
5,7,1.7,False
5,7,1.9,False
5,8,0.3,False
5,8,0.5,True
5,8,0.7,False
5,8,0.9,False
5,8,1.1,False
5,8,1.3,False
5,8,1.5,False
5,8,1.7,False
5,8,1.9,False
5,9,0.3,False
5,9,0.5,True
5,9,0.7,True
5,9,0.9,False
5,9,1.1,False
5,9,1.3,False
5,9,1.5,False
5,9,1.7,False
5,12,0.5,False
5,12,0.7,False
5,12,0.9,False
5,12,1.1,False
5,12,1.3,False
5,12,1.5,False
5,12,1.7,False
5,12,1.9,False
5,13,0.3,False
5,13,0.5,False
5,13,0.7,False
5,13,0.9,False
5,13,1.1,False
5,13,1.3,False
5,13,1.5,False
5,13,1.7,False
5,13,1.9,False
5,14,0.3,False
5,14,0.5,False
5,14,0.7,False
5,14,0.9,False
5,14,1.1,False
5,14,1.3,False
5,14,1.5,False
5,14,1.7,False
