A,L,Vbias,result
5,4,0.4,True
5,4,0.5,True
5,4,0.6,True
5,4,0.7,True
5,4,0.8,True
5,4,0.9,True
5,4,1.0,True
5,4,1.1,True
5,4,1.2,True
5,5,0.4,True
5,5,0.5,True
5,5,0.6,True
5,5,0.7,True
5,5,0.8,True
5,5,0.9,True
5,5,1.0,True
5,5,1.1,True
5,5,1.2,False
5,6,0.4,True
5,6,0.5,True
5,6,0.6,True
5,6,0.7,True
5,6,0.8,True
5,6,0.9,True
5,6,1.0,True
5,6,1.1,True
5,6,1.2,False
5,7,0.4,True
5,7,0.5,True
5,7,0.6,True
5,7,0.7,True
5,7,0.8,True
5,7,0.9,True
5,7,1.0,True
5,7,1.1,True
5,7,1.2,False
5,8,0.4,True
5,8,0.5,True
5,8,0.6,True
5,8,0.7,False
6,5,1.0,True
6,5,1.1,True
6,5,1.2,False
6,6,0.4,True
6,6,0.5,True
6,6,0.6,True
6,6,0.7,True
6,6,0.8,True
6,6,0.9,True
6,6,1.0,True
6,6,1.1,True
6,6,1.2,False
6,7,0.4,True
6,7,0.5,True
6,7,0.6,True
6,7,0.7,True
6,7,0.8,True
6,7,0.9,True
6,7,1.0,True
6,7,1.1,True
5,8,0.8,False
5,8,0.9,False
5,8,1.0,False
5,8,1.1,False
5,8,1.2,False
6,4,0.4,True
6,4,0.5,True
6,4,0.6,True
6,4,0.7,True
6,4,0.8,True
6,4,0.9,True
6,4,1.0,True
6,4,1.1,True
6,4,1.2,True
6,5,0.4,True
6,5,0.5,True
6,5,0.6,True
6,5,0.7,True
6,5,0.8,True
6,5,0.9,True
6,7,1.2,False
6,8,0.4,True
6,8,0.5,True
6,8,0.6,True
6,8,0.7,False
6,8,0.8,False
6,8,0.9,False
6,8,1.0,False
6,8,1.1,False
6,8,1.2,False
7,4,0.4,True
7,4,0.5,True
7,4,0.6,True
7,4,0.7,True
7,4,0.8,True
7,4,0.9,True
7,4,1.0,True
7,4,1.1,True
7,4,1.2,True
7,5,0.4,True
7,5,0.5,True
7,5,0.6,True
7,5,0.7,True
7,5,0.8,True
7,5,0.9,True
7,5,1.0,True
7,5,1.1,True
7,5,1.2,False
7,6,0.4,True
7,6,0.5,True
7,6,0.6,True
7,6,0.7,True
7,6,0.8,True
7,6,0.9,True
7,6,1.0,True
7,6,1.1,False
7,6,1.2,False
7,7,0.4,True
7,7,0.5,True
7,7,0.6,True
7,7,0.7,True
7,7,0.8,True
7,7,0.9,True
7,7,1.0,True
7,7,1.1,True
7,7,1.2,False
7,8,0.4,True
7,8,0.5,True
7,8,0.6,True
7,8,0.7,False
7,8,0.8,False
