"('A', 'L')",count,Vbias
"(20, 8)",2.0,"[0.4, 0.5]"
"(19, 8)",2.0,"[0.4, 0.5]"
"(18, 8)",2.0,"[0.4, 0.5]"
"(17, 8)",2.0,"[0.4, 0.5]"
"(16, 8)",2.0,"[0.4, 0.5]"
"(15, 8)",2.0,"[0.4, 0.5]"
"(14, 8)",3.0,"[0.4, 0.5, 0.6]"
"(13, 8)",3.0,"[0.4, 0.5, 0.6]"
"(11, 8)",3.0,"[0.4, 0.5, 0.6]"
"(10, 8)",3.0,"[0.4, 0.5, 0.6]"
"(9, 8)",3.0,"[0.4, 0.5, 0.6]"
"(8, 8)",3.0,"[0.4, 0.5, 0.6]"
"(7, 8)",3.0,"[0.4, 0.5, 0.6]"
"(12, 8)",3.0,"[0.4, 0.5, 0.6]"
"(5, 8)",3.0,"[0.4, 0.5, 0.6]"
"(6, 8)",3.0,"[0.4, 0.5, 0.6]"
"(20, 6)",5.0,"[0.4, 0.5, 0.6, 0.7, 0.8]"
"(18, 6)",5.0,"[0.4, 0.5, 0.6, 0.7, 0.8]"
"(19, 6)",5.0,"[0.4, 0.5, 0.6, 0.7, 0.8]"
"(16, 6)",6.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9]"
"(17, 6)",6.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9]"
"(15, 6)",6.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9]"
"(14, 6)",6.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9]"
"(13, 6)",7.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
"(12, 6)",7.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
"(11, 6)",7.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
"(10, 6)",7.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
"(7, 6)",7.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
"(8, 6)",7.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
"(9, 6)",7.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
"(10, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(8, 5)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(17, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(15, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(8, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(5, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(6, 5)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(14, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(7, 5)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(7, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(6, 6)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(19, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(13, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(9, 5)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(5, 5)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(9, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(11, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(16, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(6, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(20, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(18, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(12, 7)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(5, 6)",8.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]"
"(19, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(18, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(20, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(18, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(19, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(20, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(17, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(14, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(16, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(8, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(9, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(7, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(10, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(10, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(11, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(11, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(17, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(12, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(13, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(13, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(14, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(15, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(15, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(6, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(16, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(12, 5)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
"(5, 4)",9.0,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]"
