"('A', 'L')",count,Vbias
"(10, 9)",1.0,[0.5]
"(15, 9)",1.0,[0.5]
"(15, 8)",1.0,[0.5]
"(15, 1)",1.0,[1.1]
"(20, 8)",1.0,[0.5]
"(10, 8)",1.0,[0.5]
"(10, 1)",1.0,[1.1]
"(20, 9)",1.0,[0.5]
"(5, 8)",1.0,[0.5]
"(20, 6)",2.0,"[0.5, 0.7]"
"(5, 3)",2.0,"[0.7, 0.9]"
"(5, 9)",2.0,"[0.5, 0.7]"
"(20, 3)",3.0,"[0.7, 0.9, 1.1]"
"(20, 2)",3.0,"[0.7, 0.9, 1.1]"
"(15, 6)",3.0,"[0.5, 0.7, 0.9]"
"(15, 3)",3.0,"[0.7, 0.9, 1.1]"
"(15, 2)",3.0,"[0.7, 0.9, 1.1]"
"(5, 2)",3.0,"[0.7, 0.9, 1.1]"
"(10, 6)",3.0,"[0.5, 0.7, 0.9]"
"(10, 3)",3.0,"[0.7, 0.9, 1.1]"
"(10, 2)",3.0,"[0.7, 0.9, 1.1]"
"(5, 6)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(5, 7)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(10, 7)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(15, 5)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(15, 7)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(5, 4)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(10, 5)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(10, 4)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(20, 4)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(20, 5)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(20, 7)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(5, 5)",4.0,"[0.5, 0.7, 0.9, 1.1]"
"(15, 4)",4.0,"[0.5, 0.7, 0.9, 1.1]"
