L,Vbias,result
2,0.3,False
2,0.5,False
2,0.7,False
2,0.9,False
2,1.1,True
2,1.3,True
2,1.5,False
2,1.7,False
2,1.9,False
2,2.1,False
2,2.3,False
2,2.5,False
2,2.7,False
2,2.9,False
2,3.1,False
7,0.3,False
7,0.5,False
7,0.7,True
7,0.9,True
7,1.1,True
22,0.3,False
22,0.5,True
22,0.7,True
22,0.9,True
22,1.1,True
22,1.3,False
22,1.5,False
22,1.7,False
22,1.9,False
22,2.1,False
22,2.3,False
22,2.5,False
22,2.7,False
22,2.9,False
22,3.1,False
27,0.3,False
27,0.5,False
27,0.7,True
27,0.9,True
27,1.1,True
27,1.3,False
27,1.5,False
27,1.7,False
27,1.9,False
27,2.1,False
27,2.3,False
27,2.5,False
27,2.7,False
27,2.9,False
27,3.1,False
32,0.3,False
32,0.5,False
32,0.7,True
32,0.9,True
32,1.1,True
32,1.3,False
32,1.5,False
32,1.7,False
32,1.9,False
32,2.1,False
7,1.3,False
7,1.5,False
7,1.7,False
7,1.9,False
7,2.1,False
7,2.3,False
7,2.5,False
7,2.7,False
7,2.9,False
7,3.1,False
12,0.3,False
12,0.5,True
12,0.7,True
12,0.9,True
12,1.1,True
12,1.3,False
12,1.5,False
12,1.7,False
12,1.9,False
12,2.1,False
12,2.3,False
12,2.5,False
12,2.7,False
12,2.9,False
12,3.1,False
17,0.3,False
17,0.5,True
17,0.7,True
17,0.9,True
17,1.1,True
17,1.3,False
17,1.5,False
17,1.7,False
17,1.9,False
17,2.1,False
17,2.3,False
17,2.5,False
17,2.7,False
17,2.9,False
17,3.1,False
42,0.3,False
42,0.5,False
42,0.7,True
42,0.9,True
42,1.1,True
42,1.3,False
42,1.5,False
42,1.7,False
42,1.9,False
42,2.1,False
42,2.3,False
42,2.5,False
42,2.7,False
42,2.9,False
42,3.1,False
32,2.3,False
32,2.5,False
32,2.7,False
32,2.9,False
32,3.1,False
37,0.3,False
37,0.5,False
37,0.7,True
37,0.9,True
37,1.1,True
37,1.3,False
37,1.5,False
37,1.7,False
37,1.9,False
37,2.1,False
37,2.3,False
37,2.5,False
37,2.7,False
37,2.9,False
37,3.1,False
