L,Vbias,result
25,0.6,True
25,0.65,True
25,0.7,True
25,0.75,True
25,0.8,True
25,0.85,True
25,0.9,True
25,0.95,True
25,1.0,True
25,1.05,True
25,1.1,True
25,1.15,True
25,1.2,True
25,1.25,True
25,1.3,False
30,0.4,False
30,0.45,False
30,0.5,False
30,0.55,False
30,0.6,True
5,0.4,False
5,0.45,False
5,0.5,False
5,0.55,False
5,0.6,False
5,0.65,False
5,0.7,False
5,0.75,True
5,0.8,True
5,0.85,True
5,0.9,True
5,0.95,True
5,1.0,True
5,1.05,True
5,1.1,True
5,1.15,True
5,1.2,True
5,1.25,True
5,1.3,False
10,0.4,False
10,0.45,False
10,0.5,True
10,0.55,True
10,0.6,True
10,0.65,True
10,0.7,True
10,0.75,True
10,0.8,True
10,0.85,True
10,0.9,True
10,0.95,True
10,1.0,True
10,1.05,True
10,1.1,True
10,1.15,True
10,1.2,True
10,1.25,True
10,1.3,False
15,0.4,True
15,0.45,True
15,0.5,True
15,0.55,True
15,0.6,True
15,0.65,True
15,0.7,True
15,0.75,True
15,0.8,True
15,0.85,True
15,0.9,True
15,0.95,True
15,1.0,True
15,1.05,True
15,1.1,True
15,1.15,True
15,1.2,True
15,1.25,True
15,1.3,False
20,0.4,True
20,0.45,True
20,0.5,True
20,0.55,True
20,0.6,True
20,0.65,True
20,0.7,True
20,0.75,True
20,0.8,True
20,0.85,True
20,0.9,True
20,0.95,True
20,1.0,True
20,1.05,True
20,1.1,True
20,1.15,True
20,1.2,True
20,1.25,True
20,1.3,False
25,0.4,False
25,0.45,False
25,0.5,True
25,0.55,True
50,0.85,True
50,0.9,True
50,0.95,True
50,1.0,True
50,1.05,True
50,1.1,True
50,1.15,True
50,1.2,True
50,1.25,True
50,1.3,False
30,0.65,True
30,0.7,True
30,0.75,True
30,0.8,True
30,0.85,True
30,0.9,True
30,0.95,True
30,1.0,True
30,1.05,True
30,1.1,True
30,1.15,True
30,1.2,True
30,1.25,True
30,1.3,False
35,0.4,False
35,0.45,False
35,0.5,False
35,0.55,False
35,0.6,False
35,0.65,True
45,0.8,True
45,0.85,True
45,0.9,True
45,0.95,True
45,1.0,True
45,1.05,True
45,1.1,True
45,1.15,True
45,1.2,True
45,1.25,True
45,1.3,False
50,0.4,False
50,0.45,False
50,0.5,False
50,0.55,False
50,0.6,False
50,0.65,False
50,0.7,False
50,0.75,False
50,0.8,True
35,0.7,True
35,0.75,True
35,0.8,True
35,0.85,True
35,0.9,True
35,0.95,True
35,1.0,True
35,1.05,True
35,1.1,True
35,1.15,True
35,1.2,True
35,1.25,True
35,1.3,False
40,0.4,False
40,0.45,False
40,0.5,False
40,0.55,False
40,0.6,False
40,0.65,False
40,0.7,True
40,0.75,True
40,0.8,True
40,0.85,True
40,0.9,True
40,0.95,True
40,1.0,True
40,1.05,True
40,1.1,True
40,1.15,True
40,1.2,True
40,1.25,True
40,1.3,False
45,0.4,False
45,0.45,False
45,0.5,False
45,0.55,False
45,0.6,False
45,0.65,False
45,0.7,False
45,0.75,True
