L,R,A,Vbias,result
10,250,15,2.2,False
10,250,15,2.6,False
10,300,5,0.6,False
10,300,5,1.0,False
10,300,5,1.4,False
10,300,5,1.8,False
10,300,5,2.2,False
10,300,5,2.6,False
10,300,10,0.6,False
10,300,10,1.0,False
10,250,10,0.6,False
10,250,10,1.0,False
10,250,10,1.4,True
10,250,10,1.8,True
10,250,10,2.2,False
10,250,10,2.6,False
10,250,15,0.6,False
10,250,15,1.0,False
10,250,15,1.4,True
10,250,15,1.8,True
10,150,15,0.6,False
10,150,15,1.0,False
10,150,15,1.4,True
10,150,15,1.8,True
10,150,15,2.2,False
10,150,15,2.6,False
10,200,5,0.6,False
10,200,5,1.0,False
10,200,5,1.4,True
10,200,5,1.8,True
10,300,10,1.4,False
10,300,10,1.8,False
10,300,10,2.2,False
10,300,10,2.6,False
10,300,15,0.6,False
10,300,15,1.0,False
10,300,15,1.4,False
10,300,15,1.8,True
10,300,15,2.2,False
10,300,15,2.6,False
10,200,15,1.4,True
10,200,15,1.8,True
10,200,15,2.2,False
10,200,15,2.6,False
10,250,5,0.6,False
10,250,5,1.0,False
10,250,5,1.4,True
10,250,5,1.8,True
10,250,5,2.2,False
10,250,5,2.6,False
10,200,5,2.2,False
10,200,5,2.6,False
10,200,10,0.6,False
10,200,10,1.0,False
10,200,10,1.4,True
10,200,10,1.8,True
10,200,10,2.2,False
10,200,10,2.6,False
10,200,15,0.6,False
10,200,15,1.0,False
10,150,5,1.4,True
10,150,5,1.8,True
10,150,5,2.2,False
10,150,5,2.6,False
10,150,10,0.6,False
10,150,10,1.0,False
10,150,10,1.4,True
10,150,10,1.8,True
10,150,10,2.2,False
10,150,10,2.6,False
20,150,5,1.4,True
20,150,5,1.8,True
20,150,5,2.2,False
20,150,5,2.6,False
20,150,10,0.6,False
20,150,10,1.0,False
20,150,10,1.4,False
20,150,10,1.8,True
20,150,10,2.2,False
20,150,10,2.6,False
10,100,5,0.6,False
10,100,5,1.0,False
10,100,5,1.4,True
10,100,5,1.8,True
10,100,5,2.2,False
10,100,5,2.6,False
10,100,10,0.6,False
10,100,10,1.0,False
10,100,10,1.4,True
10,100,10,1.8,True
20,100,5,0.6,False
20,100,5,1.0,False
20,100,5,1.4,True
20,100,5,1.8,True
20,100,5,2.2,False
20,100,5,2.6,False
20,100,10,0.6,False
20,100,10,1.0,False
20,100,10,1.4,True
20,100,10,1.8,True
10,100,10,2.2,False
10,100,10,2.6,False
10,100,15,0.6,False
10,100,15,1.0,False
10,100,15,1.4,True
10,100,15,1.8,True
10,100,15,2.2,False
10,100,15,2.6,False
10,150,5,0.6,False
10,150,5,1.0,False
20,100,10,2.2,False
20,100,10,2.6,False
20,100,15,0.6,False
20,100,15,1.0,False
20,100,15,1.4,False
20,100,15,1.8,True
20,100,15,2.2,False
20,100,15,2.6,False
20,150,5,0.6,False
20,150,5,1.0,False
20,200,5,2.2,False
20,200,5,2.6,False
20,200,10,0.6,False
20,200,10,1.0,False
20,200,10,1.4,False
20,200,10,1.8,True
20,200,10,2.2,False
20,200,10,2.6,False
20,200,15,0.6,False
20,200,15,1.0,False
20,250,15,2.2,False
20,250,15,2.6,False
20,300,5,0.6,False
20,300,5,1.0,False
20,300,5,1.4,False
20,300,5,1.8,True
20,300,5,2.2,False
20,300,5,2.6,False
20,300,10,0.6,False
20,300,10,1.0,False
20,250,10,0.6,False
20,250,10,1.0,False
20,250,10,1.4,False
20,250,10,1.8,True
20,250,10,2.2,False
20,250,10,2.6,False
20,250,15,0.6,False
20,250,15,1.0,False
20,250,15,1.4,False
20,250,15,1.8,False
20,200,15,1.4,False
20,200,15,1.8,False
20,200,15,2.2,False
20,200,15,2.6,False
20,250,5,0.6,False
20,250,5,1.0,False
20,250,5,1.4,True
20,250,5,1.8,True
20,250,5,2.2,False
20,250,5,2.6,False
20,150,15,0.6,False
20,150,15,1.0,False
20,150,15,1.4,False
20,150,15,1.8,True
20,150,15,2.2,False
20,150,15,2.6,False
20,200,5,0.6,False
20,200,5,1.0,False
20,200,5,1.4,True
20,200,5,1.8,True
20,300,10,1.4,False
20,300,10,1.8,True
20,300,10,2.2,False
20,300,10,2.6,False
20,300,15,0.6,False
20,300,15,1.0,False
20,300,15,1.4,False
20,300,15,1.8,False
20,300,15,2.2,False
20,300,15,2.6,False
30,150,15,0.6,False
30,150,15,1.0,False
30,150,15,1.4,False
30,150,15,1.8,False
30,150,15,2.2,False
30,150,15,2.6,False
30,200,5,0.6,False
30,200,5,1.0,False
30,200,5,1.4,False
30,200,5,1.8,False
30,100,5,0.6,False
30,100,5,1.0,False
30,100,5,1.4,False
30,100,5,1.8,True
30,100,5,2.2,False
30,100,5,2.6,False
30,100,10,0.6,False
30,100,10,1.0,False
30,100,10,1.4,False
30,100,10,1.8,False
30,150,5,1.4,False
30,150,5,1.8,True
30,150,5,2.2,False
30,150,5,2.6,False
30,150,10,0.6,False
30,150,10,1.0,False
30,150,10,1.4,False
30,150,10,1.8,False
30,150,10,2.2,False
30,150,10,2.6,False
30,200,5,2.2,False
30,200,5,2.6,False
