L,R,A,Vbias,result
10,250,10,1.0,False
10,250,10,1.2,False
10,250,10,1.4,True
10,250,10,1.6,True
10,250,10,1.8,True
10,250,10,2.0,False
10,250,10,2.2,False
10,250,10,2.4,False
10,250,10,2.6,False
10,250,10,2.8,False
10,250,5,1.2,False
10,250,5,1.4,True
10,250,5,1.6,True
10,250,5,1.8,True
10,250,5,2.0,False
10,250,5,2.2,False
10,250,5,2.4,False
10,250,5,2.6,False
10,250,5,2.8,False
10,250,5,3.0,False
10,200,10,1.6,True
10,200,10,1.8,True
10,200,10,2.0,False
10,200,10,2.2,False
10,200,10,2.4,False
10,200,10,2.6,False
10,200,10,2.8,False
10,200,10,3.0,False
10,200,15,1.0,False
10,200,15,1.2,False
10,150,5,2.4,False
10,150,5,2.6,False
10,150,5,2.8,False
10,150,5,3.0,False
10,150,10,1.0,False
10,150,10,1.2,False
10,150,10,1.4,True
10,150,10,1.6,True
10,150,10,1.8,True
10,150,10,2.0,False
10,200,5,1.8,True
10,200,5,2.0,False
10,200,5,2.2,False
10,200,5,2.4,False
10,200,5,2.6,False
10,200,5,2.8,False
10,200,5,3.0,False
10,200,10,1.0,False
10,200,10,1.2,False
10,200,10,1.4,True
10,200,15,1.4,True
10,200,15,1.6,True
10,200,15,1.8,True
10,200,15,2.0,False
10,200,15,2.2,False
10,200,15,2.4,False
10,200,15,2.6,False
10,200,15,2.8,False
10,200,15,3.0,False
10,250,5,1.0,False
10,150,10,2.2,False
10,150,10,2.4,False
10,150,10,2.6,False
10,150,10,2.8,False
10,150,10,3.0,False
10,150,15,1.0,False
10,150,15,1.2,False
10,150,15,1.4,True
10,150,15,1.6,True
10,150,15,1.8,True
10,100,5,1.0,False
10,100,5,1.2,True
10,100,5,1.4,True
10,100,5,1.6,True
10,100,5,1.8,True
10,100,5,2.0,False
10,100,5,2.2,False
10,100,5,2.4,False
10,100,5,2.6,False
10,100,5,2.8,False
10,150,15,2.0,False
10,150,15,2.2,False
10,150,15,2.4,False
10,150,15,2.6,False
10,150,15,2.8,False
10,150,15,3.0,False
10,200,5,1.0,False
10,200,5,1.2,False
10,200,5,1.4,True
10,200,5,1.6,True
10,100,5,3.0,False
10,100,10,1.0,False
10,100,10,1.2,True
10,100,10,1.4,True
10,100,10,1.6,True
10,100,10,1.8,True
10,100,10,2.0,False
10,100,10,2.2,False
10,100,10,2.4,False
10,100,10,2.6,False
10,100,10,2.8,False
10,100,10,3.0,False
10,100,15,1.0,False
10,100,15,1.2,True
10,100,15,1.4,True
10,100,15,1.6,True
10,100,15,1.8,True
10,100,15,2.0,False
10,100,15,2.2,False
10,100,15,2.4,False
10,100,15,2.6,False
10,100,15,2.8,False
10,100,15,3.0,False
10,150,5,1.0,False
10,150,5,1.2,False
10,150,5,1.4,True
10,150,5,1.6,True
10,150,5,1.8,True
10,150,5,2.0,False
10,150,5,2.2,False
10,250,10,3.0,False
10,250,15,1.0,False
10,250,15,1.2,False
10,250,15,1.4,True
10,250,15,1.6,True
10,250,15,1.8,True
10,250,15,2.0,False
10,250,15,2.2,False
10,250,15,2.4,False
10,250,15,2.6,False
10,300,5,2.6,False
10,300,5,2.8,False
10,300,5,3.0,False
10,300,10,1.0,False
10,300,10,1.2,False
10,300,10,1.4,False
10,300,10,1.6,False
10,300,10,1.8,False
10,300,10,2.0,False
10,300,10,2.2,False
10,300,15,2.2,False
10,300,15,2.4,False
10,300,15,2.6,False
10,300,15,2.8,False
10,300,15,3.0,False
20,100,5,1.0,False
20,100,5,1.2,True
20,100,5,1.4,True
20,100,5,1.6,True
20,100,5,1.8,True
10,300,10,2.4,False
10,300,10,2.6,False
10,300,10,2.8,False
10,300,10,3.0,False
10,300,15,1.0,False
10,300,15,1.2,False
10,300,15,1.4,False
10,300,15,1.6,True
10,300,15,1.8,True
10,300,15,2.0,False
10,250,15,2.8,False
10,250,15,3.0,False
10,300,5,1.0,False
10,300,5,1.2,False
10,300,5,1.4,False
10,300,5,1.6,False
10,300,5,1.8,False
10,300,5,2.0,False
10,300,5,2.2,False
10,300,5,2.4,False
20,150,5,1.4,True
20,150,5,1.6,True
20,150,5,1.8,True
20,150,5,2.0,False
20,150,5,2.2,False
20,150,5,2.4,False
20,150,5,2.6,False
20,150,5,2.8,False
