"('L', 'R', 'A')",count,Vbias
"(20, 200, 15)",1.0,[1.9]
"(15, 200, 20)",1.0,[1.9]
"(15, 190, 20)",1.0,[1.9]
"(15, 180, 20)",1.0,[1.9]
"(15, 120, 25)",1.0,[1.9]
"(15, 110, 25)",1.0,[1.9]
"(10, 50, 15)",1.0,[1.1]
"(15, 50, 15)",1.0,[1.1]
"(20, 50, 5)",1.0,[1.1]
"(15, 50, 10)",1.0,[1.1]
"(10, 190, 25)",1.0,[1.9]
"(10, 180, 25)",1.0,[1.9]
"(10, 120, 30)",1.0,[1.9]
"(10, 110, 30)",1.0,[1.9]
"(5, 180, 30)",1.0,[1.9]
"(5, 190, 30)",1.0,[1.9]
"(5, 200, 30)",1.0,[1.9]
"(10, 200, 25)",1.0,[1.9]
"(20, 50, 10)",1.0,[1.1]
"(10, 50, 20)",1.0,[1.1]
"(5, 50, 25)",1.0,[1.1]
"(20, 190, 15)",1.0,[1.9]
"(5, 50, 20)",1.0,[1.1]
"(20, 180, 15)",1.0,[1.9]
"(20, 110, 20)",1.0,[1.9]
"(20, 120, 20)",1.0,[1.9]
"(15, 80, 20)",2.0,"[1.4, 1.5]"
"(5, 50, 15)",2.0,"[1.1, 1.2]"
"(15, 70, 20)",2.0,"[1.3, 1.4]"
"(10, 70, 25)",2.0,"[1.3, 1.4]"
"(15, 60, 15)",2.0,"[1.2, 1.3]"
"(20, 170, 15)",2.0,"[1.8, 1.9]"
"(5, 60, 25)",2.0,"[1.2, 1.3]"
"(5, 150, 30)",2.0,"[1.8, 1.9]"
"(20, 160, 15)",2.0,"[1.8, 1.9]"
"(5, 60, 20)",2.0,"[1.2, 1.3]"
"(10, 80, 25)",2.0,"[1.4, 1.5]"
"(5, 160, 30)",2.0,"[1.8, 1.9]"
"(10, 170, 25)",2.0,"[1.8, 1.9]"
"(10, 160, 25)",2.0,"[1.8, 1.9]"
"(10, 150, 25)",2.0,"[1.8, 1.9]"
"(5, 170, 30)",2.0,"[1.8, 1.9]"
"(15, 50, 5)",2.0,"[1.1, 1.2]"
"(20, 150, 15)",2.0,"[1.8, 1.9]"
"(15, 60, 10)",2.0,"[1.2, 1.3]"
"(15, 170, 20)",2.0,"[1.8, 1.9]"
"(10, 60, 15)",2.0,"[1.2, 1.3]"
"(5, 70, 30)",2.0,"[1.3, 1.4]"
"(10, 60, 20)",2.0,"[1.2, 1.3]"
"(10, 50, 10)",2.0,"[1.1, 1.2]"
"(20, 60, 10)",2.0,"[1.2, 1.3]"
"(15, 160, 20)",2.0,"[1.8, 1.9]"
"(20, 60, 5)",2.0,"[1.2, 1.3]"
"(15, 150, 20)",2.0,"[1.8, 1.9]"
"(5, 80, 30)",2.0,"[1.4, 1.5]"
"(20, 70, 15)",2.0,"[1.3, 1.4]"
"(20, 80, 15)",2.0,"[1.4, 1.5]"
"(10, 90, 25)",3.0,"[1.5, 1.6, 1.7]"
"(20, 70, 10)",3.0,"[1.2, 1.3, 1.4]"
"(10, 50, 5)",3.0,"[1.1, 1.2, 1.3]"
"(5, 50, 10)",3.0,"[1.1, 1.2, 1.3]"
"(5, 90, 30)",3.0,"[1.5, 1.6, 1.7]"
"(15, 90, 20)",3.0,"[1.5, 1.6, 1.7]"
"(10, 130, 25)",3.0,"[1.7, 1.8, 1.9]"
"(20, 130, 15)",3.0,"[1.7, 1.8, 1.9]"
"(10, 140, 25)",3.0,"[1.7, 1.8, 1.9]"
"(5, 140, 30)",3.0,"[1.7, 1.8, 1.9]"
"(5, 70, 25)",3.0,"[1.2, 1.3, 1.4]"
"(15, 70, 15)",3.0,"[1.2, 1.3, 1.4]"
"(5, 130, 30)",3.0,"[1.7, 1.8, 1.9]"
"(15, 140, 20)",3.0,"[1.7, 1.8, 1.9]"
"(10, 70, 20)",3.0,"[1.2, 1.3, 1.4]"
"(15, 130, 20)",3.0,"[1.7, 1.8, 1.9]"
"(20, 140, 15)",3.0,"[1.7, 1.8, 1.9]"
"(20, 90, 15)",3.0,"[1.5, 1.6, 1.7]"
"(10, 70, 15)",4.0,"[1.2, 1.3, 1.4, 1.5]"
"(10, 80, 20)",4.0,"[1.3, 1.4, 1.5, 1.6]"
"(10, 110, 25)",4.0,"[1.6, 1.7, 1.8, 1.9]"
"(10, 100, 25)",4.0,"[1.5, 1.6, 1.7, 1.8]"
