L,A,Vbias,result
2,7,1.5,True
2,7,1.6,True
2,7,1.7,True
2,7,1.8,True
2,7,1.9,True
2,7,2.0,False
2,8,1.0,False
2,8,1.1,False
2,8,1.2,True
2,8,1.3,True
2,3,1.9,True
2,3,2.0,False
2,4,1.0,False
2,4,1.1,False
2,4,1.2,True
2,4,1.3,True
2,4,1.4,True
2,4,1.5,True
2,4,1.6,True
2,4,1.7,True
2,9,1.3,True
2,9,1.4,True
2,9,1.5,True
2,9,1.6,True
2,9,1.7,True
2,9,1.8,True
2,9,1.9,True
2,9,2.0,False
2,10,1.0,False
2,10,1.1,False
2,6,1.6,True
2,6,1.7,True
2,6,1.8,True
2,6,1.9,True
2,6,2.0,False
2,7,1.0,False
2,7,1.1,False
2,7,1.2,True
2,7,1.3,True
2,7,1.4,True
2,8,1.4,True
2,8,1.5,True
2,8,1.6,True
2,8,1.7,True
2,8,1.8,True
2,8,1.9,True
2,8,2.0,False
2,9,1.0,False
2,9,1.1,False
2,9,1.2,True
2,10,1.2,True
2,10,1.3,True
2,10,1.4,True
2,10,1.5,True
2,10,1.6,True
2,10,1.7,True
2,10,1.8,True
2,10,1.9,True
2,10,2.0,False
2,11,1.0,False
2,4,1.8,True
2,4,1.9,True
2,4,2.0,False
2,5,1.0,False
2,5,1.1,False
2,5,1.2,True
2,5,1.3,True
2,5,1.4,True
2,5,1.5,True
2,5,1.6,True
2,2,1.0,False
2,2,1.1,False
2,2,1.2,True
2,2,1.3,True
2,2,1.4,True
2,2,1.5,True
2,2,1.6,True
2,2,1.7,True
2,2,1.8,True
2,2,1.9,True
2,2,2.0,False
2,3,1.0,False
2,3,1.1,False
2,3,1.2,True
2,3,1.3,True
2,3,1.4,True
2,3,1.5,True
2,3,1.6,True
2,3,1.7,True
2,3,1.8,True
2,12,1.0,False
2,12,1.1,False
2,12,1.2,True
2,12,1.3,True
2,12,1.4,True
2,12,1.5,True
2,12,1.6,True
2,12,1.7,True
2,12,1.8,True
2,12,1.9,True
2,11,1.1,False
2,11,1.2,True
2,11,1.3,True
2,11,1.4,True
2,11,1.5,True
2,11,1.6,True
2,11,1.7,True
2,11,1.8,True
2,11,1.9,True
2,11,2.0,False
2,5,1.7,True
2,5,1.8,True
2,5,1.9,True
2,5,2.0,False
2,6,1.0,False
2,6,1.1,False
2,6,1.2,True
2,6,1.3,True
2,6,1.4,True
2,6,1.5,True
2,16,1.6,True
2,16,1.7,True
2,16,1.8,True
2,16,1.9,True
2,16,2.0,False
2,17,1.0,False
2,17,1.1,False
2,17,1.2,True
2,17,1.3,True
2,17,1.4,True
2,14,1.8,True
2,14,1.9,True
2,14,2.0,False
2,15,1.0,False
2,15,1.1,False
2,15,1.2,True
2,15,1.3,True
2,15,1.4,True
2,15,1.5,True
2,15,1.6,True
2,13,1.9,True
2,13,2.0,False
2,14,1.0,False
2,14,1.1,False
2,14,1.2,True
2,14,1.3,True
2,14,1.4,True
2,14,1.5,True
2,14,1.6,True
2,14,1.7,True
2,12,2.0,False
2,13,1.0,False
2,13,1.1,False
2,13,1.2,True
2,13,1.3,True
2,13,1.4,True
2,13,1.5,True
2,13,1.6,True
2,13,1.7,True
2,13,1.8,True
2,18,1.4,True
2,18,1.5,True
2,18,1.6,True
2,18,1.7,True
2,18,1.8,True
2,18,1.9,True
2,18,2.0,False
2,19,1.0,False
2,19,1.1,False
2,19,1.2,True
2,15,1.7,True
2,15,1.8,True
2,15,1.9,True
2,15,2.0,False
2,16,1.0,False
2,16,1.1,False
2,16,1.2,True
2,16,1.3,True
2,16,1.4,True
2,16,1.5,True
2,20,1.2,True
2,20,1.3,True
2,20,1.4,True
2,20,1.5,True
2,20,1.6,True
2,20,1.7,True
2,20,1.8,True
2,20,1.9,True
2,20,2.0,False
2,21,1.0,False
2,17,1.5,True
2,17,1.6,True
2,17,1.7,True
2,17,1.8,True
2,17,1.9,True
2,17,2.0,False
2,18,1.0,False
2,18,1.1,False
2,18,1.2,True
2,18,1.3,True
2,19,1.3,True
2,19,1.4,True
2,19,1.5,True
2,19,1.6,True
2,19,1.7,True
2,19,1.8,True
2,19,1.9,True
2,19,2.0,False
2,20,1.0,False
2,20,1.1,False
2,22,1.0,False
2,22,1.1,False
2,22,1.2,True
2,22,1.3,True
2,22,1.4,True
2,22,1.5,True
2,22,1.6,True
2,22,1.7,True
2,22,1.8,True
2,22,1.9,True
2,21,1.1,False
2,21,1.2,True
2,21,1.3,True
2,21,1.4,True
2,21,1.5,True
2,21,1.6,True
2,21,1.7,True
2,21,1.8,True
2,21,1.9,True
2,21,2.0,False
2,22,2.0,False
2,23,1.0,False
2,23,1.1,False
2,23,1.2,True
2,23,1.3,True
2,23,1.4,True
2,23,1.5,True
2,23,1.6,True
2,23,1.7,True
2,23,1.8,True
2,23,1.9,True
2,23,2.0,False
2,24,1.0,False
2,24,1.1,False
2,24,1.2,False
2,24,1.3,True
2,24,1.4,True
2,24,1.5,True
2,24,1.6,True
2,24,1.7,True
2,28,1.4,True
2,28,1.5,True
2,28,1.6,True
2,28,1.7,True
2,28,1.8,True
2,28,1.9,True
2,28,2.0,False
2,29,1.0,False
2,29,1.1,False
2,29,1.2,False
3,2,1.1,False
3,2,1.2,True
3,2,1.3,True
3,2,1.4,True
3,2,1.5,True
3,2,1.6,True
3,2,1.7,True
3,2,1.8,True
3,2,1.9,True
3,2,2.0,False
2,24,1.8,True
2,24,1.9,True
2,24,2.0,False
2,25,1.0,False
2,25,1.1,False
2,25,1.2,False
2,25,1.3,True
2,25,1.4,True
2,25,1.5,True
2,25,1.6,True
2,25,1.7,True
2,25,1.8,True
2,25,1.9,True
2,25,2.0,False
2,26,1.0,False
2,26,1.1,False
2,26,1.2,False
2,26,1.3,True
2,26,1.4,True
2,26,1.5,True
3,3,1.0,False
3,3,1.1,False
3,3,1.2,True
3,3,1.3,True
3,3,1.4,True
3,3,1.5,True
3,3,1.6,True
3,3,1.7,True
3,3,1.8,True
3,3,1.9,True
2,26,1.6,True
2,26,1.7,True
2,26,1.8,True
2,26,1.9,True
2,26,2.0,False
2,27,1.0,False
2,27,1.1,False
2,27,1.2,False
2,27,1.3,True
2,27,1.4,True
2,29,1.3,False
2,29,1.4,True
2,29,1.5,True
2,29,1.6,True
2,29,1.7,True
2,29,1.8,True
2,29,1.9,False
2,29,2.0,False
2,30,1.0,False
2,30,1.1,False
2,27,1.5,True
2,27,1.6,True
2,27,1.7,True
2,27,1.8,True
2,27,1.9,True
2,27,2.0,False
2,28,1.0,False
2,28,1.1,False
2,28,1.2,False
2,28,1.3,True
3,4,1.9,True
3,4,2.0,False
3,5,1.0,False
3,5,1.1,False
3,5,1.2,True
3,5,1.3,True
3,5,1.4,True
3,5,1.5,True
3,5,1.6,True
3,5,1.7,True
3,3,2.0,False
3,4,1.0,False
3,4,1.1,False
3,4,1.2,True
3,4,1.3,True
3,4,1.4,True
3,4,1.5,True
3,4,1.6,True
3,4,1.7,True
3,4,1.8,True
2,30,1.2,False
2,30,1.3,False
2,30,1.4,True
2,30,1.5,True
2,30,1.6,True
2,30,1.7,True
2,30,1.8,True
2,30,1.9,False
2,30,2.0,False
3,2,1.0,False
3,5,1.8,True
3,5,1.9,True
3,5,2.0,False
3,6,1.0,False
3,6,1.1,False
3,6,1.2,True
3,6,1.3,True
3,6,1.4,True
3,6,1.5,True
3,6,1.6,True
3,8,1.5,True
3,8,1.6,True
3,8,1.7,True
