"('L', 'A')",count,Vbias
"(20, 5)",1.0,[1.2]
"(11, 14)",1.0,[1.2]
"(9, 16)",1.0,[1.2]
"(12, 13)",1.0,[1.2]
"(13, 12)",1.0,[1.2]
"(8, 17)",1.0,[1.2]
"(14, 11)",1.0,[1.2]
"(7, 18)",1.0,[1.2]
"(16, 9)",1.0,[1.2]
"(15, 10)",1.0,[1.2]
"(18, 7)",1.0,[1.2]
"(19, 6)",1.0,[1.2]
"(5, 20)",1.0,[1.2]
"(6, 19)",1.0,[1.2]
"(10, 15)",1.0,[1.2]
"(17, 8)",1.0,[1.2]
"(20, 4)",2.0,"[1.19, 1.2]"
"(8, 15)",2.0,"[1.19, 1.2]"
"(6, 17)",2.0,"[1.19, 1.2]"
"(8, 16)",2.0,"[1.19, 1.2]"
"(6, 18)",2.0,"[1.19, 1.2]"
"(7, 17)",2.0,"[1.19, 1.2]"
"(9, 14)",2.0,"[1.19, 1.2]"
"(9, 15)",2.0,"[1.19, 1.2]"
"(5, 19)",2.0,"[1.19, 1.2]"
"(10, 13)",2.0,"[1.19, 1.2]"
"(5, 18)",2.0,"[1.19, 1.2]"
"(10, 14)",2.0,"[1.19, 1.2]"
"(7, 16)",2.0,"[1.19, 1.2]"
"(12, 12)",2.0,"[1.19, 1.2]"
"(11, 13)",2.0,"[1.19, 1.2]"
"(20, 3)",2.0,"[1.19, 1.2]"
"(19, 5)",2.0,"[1.19, 1.2]"
"(19, 4)",2.0,"[1.19, 1.2]"
"(18, 6)",2.0,"[1.19, 1.2]"
"(18, 5)",2.0,"[1.19, 1.2]"
"(17, 7)",2.0,"[1.19, 1.2]"
"(17, 6)",2.0,"[1.19, 1.2]"
"(16, 8)",2.0,"[1.19, 1.2]"
"(16, 7)",2.0,"[1.19, 1.2]"
"(15, 9)",2.0,"[1.19, 1.2]"
"(15, 8)",2.0,"[1.19, 1.2]"
"(14, 10)",2.0,"[1.19, 1.2]"
"(14, 9)",2.0,"[1.19, 1.2]"
"(13, 11)",2.0,"[1.19, 1.2]"
"(13, 10)",2.0,"[1.19, 1.2]"
"(4, 20)",2.0,"[1.19, 1.2]"
"(12, 11)",2.0,"[1.19, 1.2]"
"(11, 12)",2.0,"[1.19, 1.2]"
"(4, 19)",2.0,"[1.19, 1.2]"
"(2, 2)",2.0,"[1.19, 1.2]"
"(3, 20)",2.0,"[1.19, 1.2]"
"(12, 10)",3.0,"[1.18, 1.19, 1.2]"
"(2, 20)",3.0,"[1.18, 1.19, 1.2]"
"(10, 12)",3.0,"[1.18, 1.19, 1.2]"
"(4, 2)",3.0,"[1.18, 1.19, 1.2]"
"(15, 7)",3.0,"[1.18, 1.19, 1.2]"
"(7, 15)",3.0,"[1.18, 1.19, 1.2]"
"(3, 3)",3.0,"[1.18, 1.19, 1.2]"
"(3, 4)",3.0,"[1.18, 1.19, 1.2]"
"(5, 17)",3.0,"[1.18, 1.19, 1.2]"
"(4, 3)",3.0,"[1.18, 1.19, 1.2]"
"(11, 11)",3.0,"[1.18, 1.19, 1.2]"
"(16, 6)",3.0,"[1.18, 1.19, 1.2]"
"(9, 13)",3.0,"[1.18, 1.19, 1.2]"
"(3, 2)",3.0,"[1.18, 1.19, 1.2]"
"(6, 16)",3.0,"[1.18, 1.19, 1.2]"
"(17, 5)",3.0,"[1.18, 1.19, 1.2]"
"(2, 3)",3.0,"[1.18, 1.19, 1.2]"
"(20, 2)",3.0,"[1.18, 1.19, 1.2]"
"(4, 18)",3.0,"[1.18, 1.19, 1.2]"
"(2, 4)",3.0,"[1.18, 1.19, 1.2]"
"(13, 9)",3.0,"[1.18, 1.19, 1.2]"
"(5, 2)",3.0,"[1.18, 1.19, 1.2]"
"(2, 5)",3.0,"[1.18, 1.19, 1.2]"
"(19, 3)",3.0,"[1.18, 1.19, 1.2]"
"(3, 19)",3.0,"[1.18, 1.19, 1.2]"
"(18, 4)",3.0,"[1.18, 1.19, 1.2]"
