"('L', 'R', 'A')",count,Vbias
"(30, 150, 5)",1.0,[1.8]
"(20, 300, 10)",1.0,[1.8]
"(20, 300, 5)",1.0,[1.8]
"(20, 250, 10)",1.0,[1.8]
"(20, 200, 10)",1.0,[1.8]
"(20, 150, 15)",1.0,[1.8]
"(20, 150, 10)",1.0,[1.8]
"(20, 100, 15)",1.0,[1.8]
"(10, 300, 15)",1.0,[1.8]
"(30, 100, 5)",1.0,[1.8]
"(20, 250, 5)",2.0,"[1.4, 1.8]"
"(20, 200, 5)",2.0,"[1.4, 1.8]"
"(20, 150, 5)",2.0,"[1.4, 1.8]"
"(20, 100, 10)",2.0,"[1.4, 1.8]"
"(10, 100, 5)",2.0,"[1.4, 1.8]"
"(10, 250, 10)",2.0,"[1.4, 1.8]"
"(10, 250, 5)",2.0,"[1.4, 1.8]"
"(10, 200, 15)",2.0,"[1.4, 1.8]"
"(10, 200, 10)",2.0,"[1.4, 1.8]"
"(10, 200, 5)",2.0,"[1.4, 1.8]"
"(10, 150, 15)",2.0,"[1.4, 1.8]"
"(10, 150, 10)",2.0,"[1.4, 1.8]"
"(10, 150, 5)",2.0,"[1.4, 1.8]"
"(10, 100, 15)",2.0,"[1.4, 1.8]"
"(10, 100, 10)",2.0,"[1.4, 1.8]"
"(10, 250, 15)",2.0,"[1.4, 1.8]"
"(20, 100, 5)",2.0,"[1.4, 1.8]"
