L,Vbias,result
4,0.5,True
4,0.55,True
4,0.6,True
4,0.65,True
4,0.7,True
4,0.75,True
4,0.8,True
4,0.85,True
4,0.9,True
4,0.95,True
4.4,0.8,True
4.4,0.85,True
4.4,0.9,True
4.4,0.95,True
4.4,1.0,True
4.4,1.05,True
4.4,1.1,True
4.4,1.15,True
4.4,1.2,True
4.4,1.25,True
4.3,0.85,True
4.3,0.9,True
4.3,0.95,True
4.3,1.0,True
4.3,1.05,True
4.3,1.1,True
4.3,1.15,True
4.3,1.2,True
4.3,1.25,True
4.3,1.3,False
4.2,0.9,True
4.2,0.95,True
4.2,1.0,True
4.2,1.05,True
4.2,1.1,True
4.2,1.15,True
4.2,1.2,True
4.2,1.25,True
4.2,1.3,False
4.2,1.35,False
4.1,0.95,True
4.1,1.0,True
4.1,1.05,True
4.1,1.1,True
4.1,1.15,True
4.1,1.2,True
4.1,1.25,True
4.1,1.3,False
4.1,1.35,False
4.1,1.4,False
4,1.5,False
4.1,0.5,True
4.1,0.55,True
4.1,0.6,True
4.1,0.65,True
4.1,0.7,True
4.1,0.75,True
4.1,0.8,True
4.1,0.85,True
4.1,0.9,True
4.5,0.75,True
4.5,0.8,True
4.5,0.85,True
4.5,0.9,True
4.5,0.95,True
4.5,1.0,True
4.5,1.05,True
4.5,1.1,True
4.5,1.15,True
4.5,1.2,True
4,1.0,True
4,1.05,True
4,1.1,True
4,1.15,True
4,1.2,True
4,1.25,True
4,1.3,False
4,1.35,False
4,1.4,False
4,1.45,False
4.1,1.45,False
4.1,1.5,False
4.2,0.5,True
4.2,0.55,True
4.2,0.6,True
4.2,0.65,True
4.2,0.7,True
4.2,0.75,True
4.2,0.8,True
4.2,0.85,True
4.6,0.7,True
4.6,0.75,True
4.6,0.8,True
4.6,0.85,True
4.6,0.9,True
4.6,0.95,True
4.6,1.0,True
4.6,1.05,True
4.6,1.1,True
4.6,1.15,True
4.2,1.4,False
4.2,1.45,False
4.2,1.5,False
4.3,0.5,True
4.3,0.55,True
4.3,0.6,True
4.3,0.65,True
4.3,0.7,True
4.3,0.75,True
4.3,0.8,True
4.7,0.65,True
4.7,0.7,True
4.7,0.75,True
4.7,0.8,True
4.7,0.85,True
4.7,0.9,True
4.7,0.95,True
4.7,1.0,True
4.7,1.05,True
4.7,1.1,True
4.3,1.35,False
4.3,1.4,False
4.3,1.45,False
4.3,1.5,False
4.4,0.5,True
4.4,0.55,True
4.4,0.6,True
4.4,0.65,True
4.4,0.7,True
4.4,0.75,True
4.8,0.6,True
4.8,0.65,True
4.8,0.7,True
4.8,0.75,True
4.8,0.8,True
4.8,0.85,True
4.8,0.9,True
4.8,0.95,True
4.8,1.0,True
