R,Vbias,result
10,1.0,False
10,1.1,False
10,1.2,True
10,1.3,True
10,1.4,True
30,1.0,False
30,1.1,False
30,1.2,True
30,1.3,True
30,1.4,True
50,1.0,False
50,1.1,False
50,1.2,True
50,1.3,True
50,1.4,True
70,1.0,False
70,1.1,False
70,1.2,True
70,1.3,True
70,1.4,True
290,1.0,False
290,1.1,False
290,1.2,True
290,1.3,True
290,1.4,True
310,1.0,False
310,1.1,False
310,1.2,True
310,1.3,True
310,1.4,True
90,1.0,False
90,1.1,False
90,1.2,True
90,1.3,True
90,1.4,True
110,1.0,False
110,1.1,False
110,1.2,True
110,1.3,True
110,1.4,True
210,1.0,False
210,1.1,False
210,1.2,True
210,1.3,True
210,1.4,True
230,1.0,False
230,1.1,False
230,1.2,True
230,1.3,True
230,1.4,True
370,1.0,False
370,1.1,False
370,1.2,True
370,1.3,True
370,1.4,True
390,1.0,False
390,1.1,False
390,1.2,True
390,1.3,True
390,1.4,True
170,1.0,False
170,1.1,False
170,1.2,True
170,1.3,True
170,1.4,True
190,1.0,False
190,1.1,False
190,1.2,True
190,1.3,True
190,1.4,True
130,1.0,False
130,1.1,False
130,1.2,True
130,1.3,True
130,1.4,True
150,1.0,False
150,1.1,False
150,1.2,True
150,1.3,True
150,1.4,True
250,1.0,False
250,1.1,False
250,1.2,True
250,1.3,True
250,1.4,True
270,1.0,False
270,1.1,False
270,1.2,True
270,1.3,True
270,1.4,True
330,1.0,False
330,1.1,False
330,1.2,True
330,1.3,True
330,1.4,True
350,1.0,False
350,1.1,False
350,1.2,True
350,1.3,True
350,1.4,True
410,1.0,False
410,1.1,False
410,1.2,True
410,1.3,True
410,1.4,True
