L,Vbias,result
5,2,False
5,2.4,True
5,2.8,True
5,3.2,False
5,3.6,False
5,4.0,False
5,4.4,False
6,2,True
6,2.4,True
6,2.8,True
15,2,True
15,2.4,True
15,2.8,True
15,3.2,False
15,3.6,False
15,4.0,False
15,4.4,False
16,2,True
16,2.4,True
16,2.8,True
12,2.4,True
12,2.8,True
12,3.2,False
12,3.6,False
12,4.0,False
12,4.4,False
13,2,True
13,2.4,True
13,2.8,True
13,3.2,False
9,2.8,True
9,3.2,False
9,3.6,False
9,4.0,False
9,4.4,False
10,2,True
10,2.4,True
10,2.8,True
10,3.2,False
10,3.6,False
17,4.4,False
18,2,True
18,2.4,True
18,2.8,True
18,3.2,False
18,3.6,False
18,4.0,False
18,4.4,False
19,2,True
19,2.4,True
7,4.4,False
8,2,True
8,2.4,True
8,2.8,True
8,3.2,False
8,3.6,False
8,4.0,False
8,4.4,False
9,2,True
9,2.4,True
16,3.2,False
16,3.6,False
16,4.0,False
16,4.4,False
17,2,True
17,2.4,True
17,2.8,True
17,3.2,False
17,3.6,False
17,4.0,False
6,3.2,False
6,3.6,False
6,4.0,False
6,4.4,False
7,2,True
7,2.4,True
7,2.8,True
7,3.2,False
7,3.6,False
7,4.0,False
10,4.0,False
10,4.4,False
11,2,True
11,2.4,True
11,2.8,True
11,3.2,False
11,3.6,False
11,4.0,False
11,4.4,False
12,2,True
13,3.6,False
13,4.0,False
13,4.4,False
14,2,True
14,2.4,True
14,2.8,True
14,3.2,False
14,3.6,False
14,4.0,False
14,4.4,False
19,2.8,True
19,3.2,False
19,3.6,False
19,4.0,False
19,4.4,False
20,2,True
20,2.4,True
20,2.8,True
20,3.2,False
20,3.6,False
22,2.4,True
22,2.8,True
22,3.2,False
22,3.6,False
22,4.0,False
22,4.4,False
23,2,True
23,2.4,True
23,2.8,True
23,3.2,False
25,2,True
25,2.4,True
25,2.8,True
25,3.2,False
25,3.6,False
25,4.0,False
25,4.4,False
26,2,True
26,2.4,True
26,2.8,True
20,4.0,False
20,4.4,False
21,2,True
21,2.4,True
21,2.8,True
21,3.2,False
21,3.6,False
21,4.0,False
21,4.4,False
22,2,True
29,2.8,True
29,3.2,False
29,3.6,False
29,4.0,False
29,4.4,False
30,2,True
30,2.4,True
30,2.8,True
30,3.2,False
30,3.6,False
32,2.4,True
32,2.8,True
32,3.2,False
32,3.6,False
32,4.0,False
32,4.4,False
33,2,True
33,2.4,True
33,2.8,True
33,3.2,False
26,3.2,False
26,3.6,False
26,4.0,False
26,4.4,False
27,2,True
27,2.4,True
27,2.8,True
27,3.2,False
27,3.6,False
27,4.0,False
27,4.4,False
28,2,True
28,2.4,True
28,2.8,True
28,3.2,False
28,3.6,False
28,4.0,False
28,4.4,False
29,2,True
29,2.4,True
23,3.6,False
23,4.0,False
23,4.4,False
24,2,True
24,2.4,True
24,2.8,True
24,3.2,False
24,3.6,False
24,4.0,False
24,4.4,False
30,4.0,False
30,4.4,False
31,2,True
31,2.4,True
31,2.8,True
31,3.2,False
31,3.6,False
31,4.0,False
31,4.4,False
32,2,True
35,2,True
35,2.4,True
35,2.8,True
35,3.2,False
35,3.6,False
35,4.0,False
35,4.4,False
36,2,True
36,2.4,True
36,2.8,True
40,4.0,False
40,4.4,False
36,3.2,False
36,3.6,False
36,4.0,False
36,4.4,False
37,2,True
37,2.4,True
37,2.8,True
37,3.2,False
37,3.6,False
37,4.0,False
33,3.6,False
33,4.0,False
33,4.4,False
34,2,True
34,2.4,True
34,2.8,True
34,3.2,False
34,3.6,False
34,4.0,False
34,4.4,False
37,4.4,False
38,2,True
38,2.4,True
38,2.8,True
38,3.2,False
38,3.6,False
38,4.0,False
38,4.4,False
39,2,True
39,2.4,True
39,2.8,True
39,3.2,False
39,3.6,False
39,4.0,False
39,4.4,False
40,2,True
40,2.4,True
40,2.8,True
40,3.2,False
40,3.6,False
