L,Vbias,result
15,3.0,True
16,1,False
16,1.1,False
16,1.2,True
16,1.3,True
16,1.4,True
16,1.5,True
16,1.6,True
16,1.7,True
16,1.8,True
15,1,False
15,1.1,False
15,1.2,True
15,1.3,True
15,1.4,True
15,1.5,True
15,1.6,True
15,1.7,True
15,1.8,True
15,1.9,True
17,1.8,True
17,1.9,True
17,2.0,True
17,2.1,True
17,2.2,True
17,2.3,True
17,2.4,True
17,2.5,True
17,2.6,True
17,2.7,True
15,2.0,True
15,2.1,True
15,2.2,True
15,2.3,True
15,2.4,True
15,2.5,True
15,2.6,True
15,2.7,True
15,2.8,True
15,2.9,True
16,2.9,True
16,3.0,True
17,1,False
17,1.1,False
17,1.2,True
17,1.3,True
17,1.4,True
17,1.5,True
17,1.6,True
17,1.7,True
18,2.7,True
18,2.8,True
18,2.9,True
18,3.0,True
19,1,False
19,1.1,False
19,1.2,True
19,1.3,True
19,1.4,True
19,1.5,True
16,1.9,True
16,2.0,True
16,2.1,True
16,2.2,True
16,2.3,True
16,2.4,True
16,2.5,True
16,2.6,True
16,2.7,True
16,2.8,True
19,1.6,True
19,1.7,True
19,1.8,True
19,1.9,True
19,2.0,True
19,2.1,True
19,2.2,True
19,2.3,True
19,2.4,True
19,2.5,True
17,2.8,True
17,2.9,True
17,3.0,True
18,1,False
18,1.1,False
18,1.2,True
18,1.3,True
18,1.4,True
18,1.5,True
18,1.6,True
19,2.6,True
19,2.7,True
19,2.8,True
19,2.9,True
19,3.0,True
20,1,False
20,1.1,False
20,1.2,True
20,1.3,True
20,1.4,True
20,1.5,True
20,1.6,True
20,1.7,True
20,1.8,True
20,1.9,True
20,2.0,True
20,2.1,True
20,2.2,True
20,2.3,True
20,2.4,True
18,1.7,True
18,1.8,True
18,1.9,True
18,2.0,True
18,2.1,True
18,2.2,True
18,2.3,True
18,2.4,True
18,2.5,True
18,2.6,True
25,3.0,True
20,2.5,True
20,2.6,True
20,2.7,True
20,2.8,True
20,2.9,True
20,3.0,True
21,1,False
21,1.1,False
21,1.2,True
21,1.3,True
21,2.4,True
21,2.5,True
21,2.6,True
21,2.7,True
21,2.8,True
21,2.9,True
21,3.0,True
22,1,False
22,1.1,False
22,1.2,True
22,2.3,True
22,2.4,True
22,2.5,True
22,2.6,True
22,2.7,True
22,2.8,True
22,2.9,True
22,3.0,True
23,1,False
23,1.1,False
23,1.2,True
23,1.3,True
23,1.4,True
23,1.5,True
23,1.6,True
23,1.7,True
23,1.8,True
23,1.9,True
23,2.0,True
23,2.1,True
21,1.4,True
21,1.5,True
21,1.6,True
21,1.7,True
21,1.8,True
21,1.9,True
21,2.0,True
21,2.1,True
21,2.2,True
21,2.3,True
22,1.3,True
22,1.4,True
22,1.5,True
22,1.6,True
22,1.7,True
22,1.8,True
22,1.9,True
22,2.0,True
22,2.1,True
22,2.2,True
25,2.0,True
25,2.1,True
25,2.2,True
25,2.3,True
25,2.4,True
25,2.5,True
25,2.6,True
25,2.7,True
25,2.8,True
25,2.9,True
23,2.2,True
23,2.3,True
23,2.4,True
23,2.5,True
23,2.6,True
23,2.7,True
23,2.8,True
23,2.9,True
23,3.0,True
24,1,False
25,1,False
25,1.1,False
25,1.2,False
25,1.3,True
25,1.4,True
25,1.5,True
25,1.6,True
25,1.7,True
25,1.8,True
25,1.9,True
24,2.1,True
24,2.2,True
24,2.3,True
24,2.4,True
24,2.5,True
24,2.6,True
24,2.7,True
24,2.8,True
24,2.9,True
24,3.0,True
24,1.1,False
24,1.2,False
24,1.3,True
24,1.4,True
24,1.5,True
24,1.6,True
24,1.7,True
24,1.8,True
24,1.9,True
24,2.0,True
