"('L', 'R')",count,Vbias
"(3, 110)",4.0,"[1.6, 1.8, 2.0, 2.2]"
"(3, 80)",5.0,"[1.2, 1.4, 1.6, 1.8, 2.0]"
"(3, 95)",5.0,"[1.4, 1.6, 1.8, 2.0, 2.2]"
"(3, 100)",5.0,"[1.4, 1.6, 1.8, 2.0, 2.2]"
"(3, 105)",5.0,"[1.4, 1.6, 1.8, 2.0, 2.2]"
"(3, 85)",6.0,"[1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(3, 90)",6.0,"[1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(21, 80)",7.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(21, 105)",7.0,"[1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(21, 110)",7.0,"[1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(18, 95)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(15, 100)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(15, 105)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(15, 110)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(18, 80)",8.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(18, 90)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(18, 100)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(15, 80)",8.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(18, 110)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(21, 85)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(21, 90)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(21, 95)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(21, 100)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(18, 105)",8.0,"[0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(15, 90)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(6, 80)",9.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(18, 85)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(15, 95)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(15, 85)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(12, 95)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(12, 110)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(12, 105)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(12, 100)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(12, 90)",9.0,"[0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(12, 80)",9.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(9, 80)",9.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0]"
"(6, 100)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(6, 105)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(6, 110)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(9, 85)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(9, 90)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(9, 100)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(6, 90)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(9, 105)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(9, 110)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(12, 85)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(6, 85)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(9, 95)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
"(6, 95)",10.0,"[0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2]"
